id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,4813.876,RIBU ORANG,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2358.418,RIBU ORANG,2010
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2186.794,RIBU ORANG,2010
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3205.121,RIBU ORANG,2010
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2422.326,RIBU ORANG,2010
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1687.776,RIBU ORANG,2010
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1135.724,RIBU ORANG,2010
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1023.907,RIBU ORANG,2010
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,2044.181,RIBU ORANG,2010
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1153.226,RIBU ORANG,2010
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1101.578,RIBU ORANG,2010
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1645.024,RIBU ORANG,2010
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1449.207,RIBU ORANG,2010
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,859.186,RIBU ORANG,2010
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2144.185,RIBU ORANG,2010
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,2656.884,RIBU ORANG,2010
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1522.076,RIBU ORANG,2010
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,379.518,RIBU ORANG,2010
19,32,JAWA BARAT,3271,KOTA BOGOR,958.077,RIBU ORANG,2010
20,32,JAWA BARAT,3272,KOTA SUKABUMI,301.014,RIBU ORANG,2010
21,32,JAWA BARAT,3273,KOTA BANDUNG,2412.093,RIBU ORANG,2010
22,32,JAWA BARAT,3274,KOTA CIREBON,293.206,RIBU ORANG,2010
23,32,JAWA BARAT,3275,KOTA BEKASI,2356.1,RIBU ORANG,2010
24,32,JAWA BARAT,3276,KOTA DEPOK,1755.612,RIBU ORANG,2010
25,32,JAWA BARAT,3277,KOTA CIMAHI,545.505,RIBU ORANG,2010
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,639.987,RIBU ORANG,2010
27,32,JAWA BARAT,3279,KOTA BANJAR,176.506,RIBU ORANG,2010
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,4943.746,RIBU ORANG,2011
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2376.495,RIBU ORANG,2011
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2201.003,RIBU ORANG,2011
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3272.828,RIBU ORANG,2011
32,32,JAWA BARAT,3205,KABUPATEN GARUT,2450.43,RIBU ORANG,2011
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1699.583,RIBU ORANG,2011
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1142.23,RIBU ORANG,2011
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1030.205,RIBU ORANG,2011
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2060.4,RIBU ORANG,2011
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1158.882,RIBU ORANG,2011
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1110.083,RIBU ORANG,2011
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1654.119,RIBU ORANG,2011
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1464.901,RIBU ORANG,2011
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,872.599,RIBU ORANG,2011
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2172.289,RIBU ORANG,2011
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,2769.18,RIBU ORANG,2011
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1545.118,RIBU ORANG,2011
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,381.729,RIBU ORANG,2011
46,32,JAWA BARAT,3271,KOTA BOGOR,976.791,RIBU ORANG,2011
47,32,JAWA BARAT,3272,KOTA SUKABUMI,304.704,RIBU ORANG,2011
48,32,JAWA BARAT,3273,KOTA BANDUNG,2429.176,RIBU ORANG,2011
49,32,JAWA BARAT,3274,KOTA CIREBON,295.981,RIBU ORANG,2011
50,32,JAWA BARAT,3275,KOTA BEKASI,2427.075,RIBU ORANG,2011
51,32,JAWA BARAT,3276,KOTA DEPOK,1823.182,RIBU ORANG,2011
52,32,JAWA BARAT,3277,KOTA CIMAHI,554.175,RIBU ORANG,2011
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,644.305,RIBU ORANG,2011
54,32,JAWA BARAT,3279,KOTA BANJAR,177.587,RIBU ORANG,2011
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,5073.116,RIBU ORANG,2012
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2393.191,RIBU ORANG,2012
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2213.889,RIBU ORANG,2012
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3339.684,RIBU ORANG,2012
59,32,JAWA BARAT,3205,KABUPATEN GARUT,2477.114,RIBU ORANG,2012
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1710.426,RIBU ORANG,2012
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1148.782,RIBU ORANG,2012
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1036.494,RIBU ORANG,2012
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,2076.615,RIBU ORANG,2012
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1164.724,RIBU ORANG,2012
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1117.919,RIBU ORANG,2012
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1663.397,RIBU ORANG,2012
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,1480.708,RIBU ORANG,2012
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,885.386,RIBU ORANG,2012
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2199.394,RIBU ORANG,2012
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,2884.3,RIBU ORANG,2012
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1567.398,RIBU ORANG,2012
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,383.915,RIBU ORANG,2012
73,32,JAWA BARAT,3271,KOTA BOGOR,995.081,RIBU ORANG,2012
74,32,JAWA BARAT,3272,KOTA SUKABUMI,308.405,RIBU ORANG,2012
75,32,JAWA BARAT,3273,KOTA BANDUNG,2444.617,RIBU ORANG,2012
76,32,JAWA BARAT,3274,KOTA CIREBON,298.825,RIBU ORANG,2012
77,32,JAWA BARAT,3275,KOTA BEKASI,2498.598,RIBU ORANG,2012
78,32,JAWA BARAT,3276,KOTA DEPOK,1891.981,RIBU ORANG,2012
79,32,JAWA BARAT,3277,KOTA CIMAHI,562.721,RIBU ORANG,2012
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,648.178,RIBU ORANG,2012
81,32,JAWA BARAT,3279,KOTA BANJAR,178.728,RIBU ORANG,2012
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,5202.097,RIBU ORANG,2013
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2408.417,RIBU ORANG,2013
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2225.313,RIBU ORANG,2013
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3405.475,RIBU ORANG,2013
86,32,JAWA BARAT,3205,KABUPATEN GARUT,2502.41,RIBU ORANG,2013
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1720.123,RIBU ORANG,2013
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1155.471,RIBU ORANG,2013
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1042.789,RIBU ORANG,2013
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,2093.075,RIBU ORANG,2013
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1170.505,RIBU ORANG,2013
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1125.125,RIBU ORANG,2013
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1672.683,RIBU ORANG,2013
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1496.886,RIBU ORANG,2013
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,898.001,RIBU ORANG,2013
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2225.383,RIBU ORANG,2013
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,3002.112,RIBU ORANG,2013
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1588.781,RIBU ORANG,2013
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,386.129,RIBU ORANG,2013
100,32,JAWA BARAT,3271,KOTA BOGOR,1013.019,RIBU ORANG,2013
101,32,JAWA BARAT,3272,KOTA SUKABUMI,311.822,RIBU ORANG,2013
102,32,JAWA BARAT,3273,KOTA BANDUNG,2458.503,RIBU ORANG,2013
103,32,JAWA BARAT,3274,KOTA CIREBON,301.728,RIBU ORANG,2013
104,32,JAWA BARAT,3275,KOTA BEKASI,2570.397,RIBU ORANG,2013
105,32,JAWA BARAT,3276,KOTA DEPOK,1962.182,RIBU ORANG,2013
106,32,JAWA BARAT,3277,KOTA CIMAHI,570.991,RIBU ORANG,2013
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,651.676,RIBU ORANG,2013
108,32,JAWA BARAT,3279,KOTA BANJAR,179.706,RIBU ORANG,2013
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,5331.149,RIBU ORANG,2014
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2422.113,RIBU ORANG,2014
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2235.418,RIBU ORANG,2014
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3470.393,RIBU ORANG,2014
113,32,JAWA BARAT,3205,KABUPATEN GARUT,2526.186,RIBU ORANG,2014
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1728.587,RIBU ORANG,2014
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1162.102,RIBU ORANG,2014
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1049.084,RIBU ORANG,2014
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,2109.588,RIBU ORANG,2014
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1176.313,RIBU ORANG,2014
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1131.516,RIBU ORANG,2014
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1682.022,RIBU ORANG,2014
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,1513.093,RIBU ORANG,2014
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,910.007,RIBU ORANG,2014
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2250.12,RIBU ORANG,2014
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,3122.698,RIBU ORANG,2014
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1609.512,RIBU ORANG,2014
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,388.32,RIBU ORANG,2014
127,32,JAWA BARAT,3271,KOTA BOGOR,1030.72,RIBU ORANG,2014
128,32,JAWA BARAT,3272,KOTA SUKABUMI,315.001,RIBU ORANG,2014
129,32,JAWA BARAT,3273,KOTA BANDUNG,2470.802,RIBU ORANG,2014
130,32,JAWA BARAT,3274,KOTA CIREBON,304.584,RIBU ORANG,2014
131,32,JAWA BARAT,3275,KOTA BEKASI,2642.508,RIBU ORANG,2014
132,32,JAWA BARAT,3276,KOTA DEPOK,2033.508,RIBU ORANG,2014
133,32,JAWA BARAT,3277,KOTA CIMAHI,579.015,RIBU ORANG,2014
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,654.794,RIBU ORANG,2014
135,32,JAWA BARAT,3279,KOTA BANJAR,180.515,RIBU ORANG,2014
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,5459.668,RIBU ORANG,2015
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2434.221,RIBU ORANG,2015
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2243.904,RIBU ORANG,2015
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3534.114,RIBU ORANG,2015
140,32,JAWA BARAT,3205,KABUPATEN GARUT,2548.723,RIBU ORANG,2015
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1735.998,RIBU ORANG,2015
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1168.682,RIBU ORANG,2015
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1055.417,RIBU ORANG,2015
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,2126.179,RIBU ORANG,2015
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1182.109,RIBU ORANG,2015
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1137.273,RIBU ORANG,2015
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1691.386,RIBU ORANG,2015
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,1529.388,RIBU ORANG,2015
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,921.598,RIBU ORANG,2015
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2273.579,RIBU ORANG,2015
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,3246.013,RIBU ORANG,2015
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1629.423,RIBU ORANG,2015
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,390.483,RIBU ORANG,2015
154,32,JAWA BARAT,3271,KOTA BOGOR,1047.922,RIBU ORANG,2015
155,32,JAWA BARAT,3272,KOTA SUKABUMI,318.117,RIBU ORANG,2015
156,32,JAWA BARAT,3273,KOTA BANDUNG,2481.469,RIBU ORANG,2015
157,32,JAWA BARAT,3274,KOTA CIREBON,307.494,RIBU ORANG,2015
158,32,JAWA BARAT,3275,KOTA BEKASI,2714.825,RIBU ORANG,2015
159,32,JAWA BARAT,3276,KOTA DEPOK,2106.102,RIBU ORANG,2015
160,32,JAWA BARAT,3277,KOTA CIMAHI,586.58,RIBU ORANG,2015
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,657.477,RIBU ORANG,2015
162,32,JAWA BARAT,3279,KOTA BANJAR,181.425,RIBU ORANG,2015
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,5587.39,RIBU ORANG,2016
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2444.616,RIBU ORANG,2016
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2250.977,RIBU ORANG,2016
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3596.623,RIBU ORANG,2016
167,32,JAWA BARAT,3205,KABUPATEN GARUT,2569.505,RIBU ORANG,2016
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1742.276,RIBU ORANG,2016
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1175.389,RIBU ORANG,2016
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1061.886,RIBU ORANG,2016
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,2142.999,RIBU ORANG,2016
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1188.004,RIBU ORANG,2016
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1142.097,RIBU ORANG,2016
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1700.815,RIBU ORANG,2016
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,1546.0,RIBU ORANG,2016
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,932.701,RIBU ORANG,2016
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2295.778,RIBU ORANG,2016
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,3371.691,RIBU ORANG,2016
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1648.387,RIBU ORANG,2016
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,392.817,RIBU ORANG,2016
181,32,JAWA BARAT,3271,KOTA BOGOR,1064.687,RIBU ORANG,2016
182,32,JAWA BARAT,3272,KOTA SUKABUMI,321.097,RIBU ORANG,2016
183,32,JAWA BARAT,3273,KOTA BANDUNG,2490.622,RIBU ORANG,2016
184,32,JAWA BARAT,3274,KOTA CIREBON,310.486,RIBU ORANG,2016
185,32,JAWA BARAT,3275,KOTA BEKASI,2787.205,RIBU ORANG,2016
186,32,JAWA BARAT,3276,KOTA DEPOK,2179.813,RIBU ORANG,2016
187,32,JAWA BARAT,3277,KOTA CIMAHI,594.021,RIBU ORANG,2016
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,659.606,RIBU ORANG,2016
189,32,JAWA BARAT,3279,KOTA BANJAR,181.901,RIBU ORANG,2016
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,5715.009,RIBU ORANG,2017
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2453.498,RIBU ORANG,2017
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2256.589,RIBU ORANG,2017
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3657.601,RIBU ORANG,2017
194,32,JAWA BARAT,3205,KABUPATEN GARUT,2588.839,RIBU ORANG,2017
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1747.318,RIBU ORANG,2017
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1181.981,RIBU ORANG,2017
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1068.201,RIBU ORANG,2017
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,2159.577,RIBU ORANG,2017
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1193.725,RIBU ORANG,2017
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1146.435,RIBU ORANG,2017
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1709.994,RIBU ORANG,2017
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,1562.509,RIBU ORANG,2017
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,943.337,RIBU ORANG,2017
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2316.489,RIBU ORANG,2017
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,3500.023,RIBU ORANG,2017
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1666.51,RIBU ORANG,2017
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,395.098,RIBU ORANG,2017
208,32,JAWA BARAT,3271,KOTA BOGOR,1081.009,RIBU ORANG,2017
209,32,JAWA BARAT,3272,KOTA SUKABUMI,323.788,RIBU ORANG,2017
210,32,JAWA BARAT,3273,KOTA BANDUNG,2497.938,RIBU ORANG,2017
211,32,JAWA BARAT,3274,KOTA CIREBON,313.325,RIBU ORANG,2017
212,32,JAWA BARAT,3275,KOTA BEKASI,2859.63,RIBU ORANG,2017
213,32,JAWA BARAT,3276,KOTA DEPOK,2254.513,RIBU ORANG,2017
